indication;10
indicator;9
indictment;10
indigenous;10
induce;6
indulge;7
inequality;10
inevitable;10
inevitably;10
infamous;8
infant;6
infect;6
infer;5
inflation;9
inflict;7
influential;11
info;4
infrastructure;14
inhabitant;10
inherent;8
inherit;7
inhibit;7
initiate;8
inject;6
injection;9
injustice;9
ink;3
inmate;6
innovation;10
innovative;10
input;5
insert;6
insertion;9
insider;7
inspect;7
inspection;10
inspector;9
inspiration;11
installation;12
instant;7
instantly;9
instinct;8
institutional;13
instruct;8
instrumental;12
insufficient;12
insult;6
intact;6
intake;6
integral;8
integrate;9
integrated;10
integration;11
integrity;9
intellectual;12
intensify;9
intensity;9
intensive;9
intent;6
interact;8
interaction;11
interactive;11
interface;9
interfere;9
interference;12
interim;7
interior;8
intermediate;12
interpretation;14
interval;8
intervene;9
intervention;12
intimate;8
intriguing;10
invade;6
invasion;8
investigator;12
investor;8
invisible;9
invoke;6
involvement;11
ironic;6
ironically;10
irony;5
irrelevant;10
isolate;7
isolated;8
isolation;9
jail;4
jet;3
joint;5
journalism;10
judicial;8
junction;8
jurisdiction;12
jury;4
just;4
justification;13
kidnap;6
kidney;6
kingdom;7
kit;3
lad;3
ladder;6
landing;7
landlord;8
landmark;8
lane;4
lap;3
large-scale;11
laser;5
lately;6
latter;6
lawn;4
lawsuit;7
layout;6
leaflet;7
leak;4
leap;4
legacy;6
legend;6
legendary;9
legislation;11
legislative;11
legislature;11
legitimate;10
lengthy;7
lens;4
lesbian;7
lesser;6
lethal;6
liable;6
liberal;7
liberation;10
liberty;7
license;7
lifelong;8
lifetime;8
lighting;8
likelihood;10
likewise;8
limb;4
limitation;10
linear;6
line-up;7
linger;6
listing;7
literacy;8
literally;9
literary;8
litre;5
litter;6
liver;5
lobby;5
log;3
logic;5
logo;4
long-standing;13
long-time;9
loom;4
loop;4
lottery;7
loyal;5
loyalty;7
lyric;5
machinery;9
magical;7
magistrate;10
magnetic;8
magnificent;11
magnitude;9
mainland;8
mainstream;10
maintenance;11
make-up;7
making;6
mandate;7
mandatory;9
manifest;8
manipulate;10
manipulation;12
manufacture;11
manufacturing;13
manuscript;10
marathon;8
march;5
margin;6
marginal;8
marine;6
marker;6
marketplace;11
martial;7
mask;4
massacre;8
mate;4
mathematical;12
mature;6
maximize;8
mayor;5
meaningful;10
meantime;8
mechanic;8
mechanical;10
mechanism;9
medal;5
medication;10
medieval;8
meditation;10
melody;6
membership;10
memo;4
memoir;6
memorable;9
memorial;8
mentor;6
merchant;8
mercy;5
mere;4
merely;6
merge;5
merger;6
merit;5
metaphor;8
methodology;11
midst;5
migration;9
militant;8
militia;7
mill;4
miner;5
minimal;7
minimize;8
mining;6
ministry;8
minute;6
miracle;7
miserable;9
misery;6
misleading;10
missile;7
mob;3
mobility;8
mobilize;8
mode;4
moderate;8
modest;6
modification;12
momentum;8
monk;4
monopoly;8
monster;7
monthly;7
monument;8
morality;8
moreover;8
mortgage;8
mosque;6
motion;6
motivate;8
motivation;10
motive;6
motorist;8
moving;6
municipal;9
mutual;6
myth;4
naked;5
namely;6
nasty;5
nationwide;10
naval;5
navigation;10
ndal;4
nearby;6
necessity;9
neglect;7
negotiate;9
negotiation;11
neighbouring;12
nest;4
